SEQ #,W/H #,DEV ID,SYSFLG1,SYSFLG2,SYSFLG3,SYSFLG4,LOGIN ID,TR DATE(YMD),TR TYPE,OPE SEQ #,RESULT,RSN CODE,TRUCK NO,CUST NO,SHIP NO,CHECK TYPE,SHIP P/N,SHIP QTY,TAG TYPE,P/N,CUST P/N,QTY,TAG SEQ #,SCAN DATE(YMD),SCAN TIME
1000,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555               ,5,56900,20250411,203000
1001,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555               ,5,56900,20250411,203000
1002,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1003,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1004,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1005,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1006,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1007,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1008,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1009,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1010,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1011,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1012,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1013,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1014,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1015,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1016,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1017,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1018,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1019,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1020,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1021,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1022,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1023,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1024,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1025,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1026,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1027,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1028,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1029,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1030,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1031,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1032,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1033,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1034,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1035,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1036,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1037,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1038,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1039,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1040,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1041,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1042,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1043,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1044,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1045,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1046,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1047,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1048,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1049,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1050,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1051,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1052,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1053,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1054,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1055,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1056,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1057,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1058,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1059,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1060,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1061,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1062,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1063,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1064,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1065,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1066,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1067,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1068,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1069,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1070,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1071,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1072,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1073,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1074,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1075,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1076,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1077,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1078,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1079,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1080,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1081,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1082,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1083,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1084,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1085,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1086,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1087,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1088,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1089,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1090,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1091,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1092,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1093,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1094,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1095,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1096,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1097,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1098,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1099,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1100,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1101,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1102,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1103,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1104,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1105,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1106,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1107,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1108,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1109,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1110,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1111,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1112,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1113,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1114,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1115,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1116,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1117,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1118,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1119,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1120,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1121,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1122,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1123,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1124,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1125,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1126,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1127,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1128,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
1129,2,GF55,FALSE,FALSE,TRUE,TRUE,NM66,20250410,1,2,1,5000,999123,5002345,5,777,TR888789-ZXD567T,5,EDG,CCC11156-JJMM,89011QR555,5,56900,20250411,203000
