SEQ #,W/H #,DEV ID,SYSFLG1,SYSFLG2,SYSFLG3,SYSFLG4,LOGIN ID,TR DATE(YMD),TR TYPE,OPE SEQ #,RESULT,RSN CODE,TRUCK NO,CUST NO,SHIP NO,CHECK TYPE,SHIP P/N,SHIP QTY,TAG TYPE,P/N,CUST P/N,QTY,TAG SEQ #,SCAN DATE(YMD),SCAN TIME
9000,05,ITY67,FALSE,TRUE,FALSE,FALSE,00     ,20240929,1,0001,TRUE,1000,2731596,11000555,05,3,MA275700-45010Q,0000036,15,AE059050-92200Q,85070EW020,2,100500,20240129,213353
9001,06,ITY68,FALSE,TRUE,FALSE,FALSE,00     ,20240929,1,0001,TRUE,1000,2731596,11000555,06,3,AE060810-94200Q,0000039,15,AE059050-92200Q,85070EW020,2,100500,20240129,213353
9002,07,ITY69,FALSE,TRUE,FALSE,FALSE,00     ,20240929,1,0001,TRUE,1000,2731596,11000555,07,3,MA460030-76600Q,0000042,15,AE059050-92200Q,85070EW020,2,100500,20240129,213353
9003,08,ITY70,TRUE,TRUE,FALSE,FALSE,00     ,20240929,1,0001,TRUE,1000,2731596,11000555,08,3,MA460120-91100Q,0000042,15,AE059050-92200Q,85070EW020,2,100500,20240129,213353
9004,09,ITY71,FALSE,TRUE,FALSE,FALSE,00     ,20250115,1,0001,TRUE,1000,2731596,11000555,09,3,MA460070-11500Q,0000042,15,AE059050-92200Q,85070EW020,2,100500,20240129,213353
9005,10,ITY72,FALSE,TRUE,FALSE,FALSE,00     ,20250115,1,0001,TRUE,1000,2731596,11000555,10,3,MA460120-91200Q,0000042,15,AE059050-92200Q,85070EW020,2,100500,20240129,213353
9006,11,ITY73,FALSE,TRUE,TRUE,FALSE,00     ,20250115,1,0001,TRUE,1000,2731596,11000555,11,3,AE059050-92200Q,0000040,15,AE059050-92200Q,85070EW020,2,100500,20240129,213353
9007,12,ITY74,FALSE,TRUE,FALSE,FALSE,00     ,20250115,1,0001,TRUE,1000,2731596,11000555,12,3,AE159860-06400Q,0000042,15,AE059050-92200Q,85070EW020,2,100500,20240129,213353
9008,13,ITY75,FALSE,TRUE,FALSE,FALSE,00     ,20250115,1,0001,TRUE,1000,2731596,11000555,13,3,AE159950-28610Q,0000080,15,AE059050-92200Q,85070EW020,2,100500,20240129,213353
9009,14,ITY76,FALSE,TRUE,FALSE,TRUE,00     ,20250115,1,0002,TRUE,2000,2731596,11000555,14,3,MA275700-45010Q,0000036,15,AE059050-92200Q,85070EW020               ,2,100500,20240329,213353
9010,15,ITY77,FALSE,TRUE,FALSE,TRUE,00     ,20250115,1,0003,TRUE,3000,2731596,11000555,15,3,AE060810-94200Q,0000039,15,AE059050-92200Q,85070EW020               ,2,100500,20240329,213353
9011,16,ITY78,TRUE,TRUE,TRUE,TRUE,00     ,20240218,1,0004,TRUE,2000,2731596,11000555,16,3,MA460030-76600Q,0000042,15,AE059050-92200Q,85070EW020               ,2,100500,20240329,213353
9012,17,ITY79,TRUE,TRUE,TRUE,TRUE,00     ,20240218,1,0005,TRUE,3000,2731596,11000555,17,3,MA460120-91100Q,0000042,15,AE059050-92200Q,85070EW020               ,2,100500,20240329,213353
9013,18,ITY80,TRUE,TRUE,TRUE,TRUE,00     ,20240218,1,0006,TRUE,2000,2731596,11000555,18,3,MA460070-11500Q,0000042,15,AE059050-92200Q,85070EW020               ,2,100500,20240329,213353
9014,19,ITY81,TRUE,TRUE,TRUE,TRUE,00     ,20240218,1,0007,TRUE,3000,2731596,11000555,19,3,MA460120-91200Q,0000042,15,AE059050-92200Q,85070EW020               ,2,100500,20240329,213353
9015,20,ITY82,TRUE,TRUE,TRUE,TRUE,00     ,20240218,1,0008,TRUE,2000,2731596,11000555,20,3,AE059050-92200Q,0000040,15,AE059050-92200Q,85070EW020               ,2,100500,20240518,213353
9016,21,ITY83,FALSE,FALSE,FALSE,TRUE,00     ,20240218,1,0009,TRUE,3000,2731596,11000555,21,3,AE159860-06400Q,0000042,15,AE059050-92200Q,85070EW020               ,2,100500,20240518,213353
9017,22,ITY84,FALSE,FALSE,FALSE,TRUE,00     ,20240218,1,0010,TRUE,2000,2731596,11000555,22,3,AE159950-28610Q,0000080,15,AE059050-92200Q,85070EW020               ,2,100500,20240518,213353
9018,23,ITY85,FALSE,FALSE,FALSE,TRUE,00     ,20240218,1,0011,TRUE,3000,2731596,11000555,23,3,AE159950-28610Q,0000080,15,AE059050-92200Q,85070EW020               ,2,100500,20240518,213353
