SEQ #,W/H #,DEV ID,SYSFLG1,SYSFLG2,SYSFLG3,SYSFLG4,LOGIN ID,TR DATE(YMD),TR TYPE,OPE SEQ #,RESULT,RSN CODE,TRUCK NO,CUST NO,SHIP NO,CHECK TYPE,SHIP P/N,SHIP QTY,TAG TYPE,P/N,CUST P/N,QTY,TAG SEQ #,SCAN DATE(YMD),SCAN TIME
5348,01,K4, , , , ,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,MA275700-45010Q,0000036,  ,               ,                         ,       ,       ,20220929,213111
5349,01,K4, , , , ,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,AE060810-94200Q,0000039,  ,               ,                         ,       ,       ,20220929,213111
5350,01,K4, , , , ,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,MA460030-76600Q,0000042,  ,               ,                         ,       ,       ,20220929,213111
5351,01,K4, , , , ,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,MA460120-91100Q,0000042,  ,               ,                         ,       ,       ,20220929,213111
5352,01,K4, , , , ,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,MA460070-11500Q,0000042,  ,               ,                         ,       ,       ,20220929,213111
5353,01,K4, , , , ,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,MA460120-91200Q,0000042,  ,               ,                         ,       ,       ,20220929,213111
5354,01,K4, , , , ,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,AE059050-92200Q,0000040,  ,               ,                         ,       ,       ,20220929,213111
5355,01,K4, , , , ,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,AE159860-06400Q,0000042,  ,               ,                         ,       ,       ,20220929,213111
5356,01,K4, , , , ,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,AE159950-28610Q,0000080,  ,               ,                         ,       ,       ,20220929,213111
5357,01,K4, , , , ,00     ,20220929,1,0002,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070035,20220929,213341
5358,01,K4, , , , ,00     ,20220929,1,0003,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,301,20220929,213342
5359,01,K4, , , , ,00     ,20220929,1,0004,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070012,20220929,213343
5360,01,K4, , , , ,00     ,20220929,1,0005,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,302,20220929,213344
5361,01,K4, , , , ,00     ,20220929,1,0006,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070003,20220929,213348
5362,01,K4, , , , ,00     ,20220929,1,0007,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,303,20220929,213348
5363,01,K4, , , , ,00     ,20220929,1,0008,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070029,20220929,213349
5364,01,K4, , , , ,00     ,20220929,1,0009,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,304,20220929,213350
5365,01,K4, , , , ,00     ,20220929,1,0010,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070016,20220929,213351
5366,01,K4, , , , ,00     ,20220929,1,0011,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,305,20220929,213353
