SEQ #,W/H #,DEV ID,SYSFLG1,SYSFLG2,SYSFLG3,SYSFLG4,LOGIN ID,TR DATE(YMD),TR TYPE,OPE SEQ #,RESULT,RSN CODE,TRUCK NO,CUST NO,SHIP NO,CHECK TYPE,SHIP P/N,SHIP QTY,TAG TYPE,P/N,CUST P/N,QTY,TAG SEQ #,SCAN DATE(YMD),SCAN TIME
7000,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0001,0,1000,2731596,11000202,01,1,MA275700-45010Q,0000036,  ,               ,                         ,       ,       ,20250220,213111
7001,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0001,0,1000,2731596,11000202,01,1,AE060810-94200Q,0000039,  ,               ,                         ,       ,       ,20250220,213111
7002,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0001,0,1000,2731596,11000202,01,1,MA460030-76600Q,0000042,  ,               ,                         ,       ,       ,20250220,213111
7003,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0001,0,1000,2731596,11000202,01,1,MA460120-91100Q,0000042,  ,               ,                         ,       ,       ,20250220,213111
7004,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0001,0,1000,2731596,11000202,01,1,MA460070-11500Q,0000042,  ,               ,                         ,       ,       ,20250220,213111
7005,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0001,0,1000,2731596,11000202,01,1,MA460120-91200Q,0000042,  ,               ,                         ,       ,       ,20250220,213111
7006,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0001,0,1000,2731596,11000202,01,1,AE059050-92200Q,0000040,  ,               ,                         ,       ,       ,20250220,213111
7007,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0001,0,1000,2731596,11000202,01,1,AE159860-06400Q,0000042,  ,               ,                         ,       ,       ,20250220,213111
7008,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0001,0,1000,2731596,11000202,01,1,AE159950-28610Q,0000080,  ,               ,                         ,       ,       ,20250220,213111
7009,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0002,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070035,20250220,213341
7010,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0003,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,301,20250220,213342
7011,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0004,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070012,20250220,213343
7012,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0005,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,302,20250220,213344
7013,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0006,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070003,20250220,213348
7014,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0007,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,303,20250220,213348
7015,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0008,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070029,20250220,213349
7016,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0009,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,304,20250220,213350
7017,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0010,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070016,20250220,213351
7018,01,K4,AAA,BBB,CCC, ,00     ,20250112,1,0011,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,305,20250220,213353
