SEQ #,W/H #,DEV ID,SYSFLG1,SYSFLG2,SYSFLG3,SYSFLG4,LOGIN ID,TR DATE(YMD),TR TYPE,OPE SEQ #,RESULT,RSN CODE,TRUCK NO,CUST NO,SHIP NO,CHECK TYPE,SHIP P/N,SHIP QTY,TAG TYPE,P/N,CUST P/N,QTY,TAG SEQ #,SCAN DATE(YMD),SCAN TIME
8000,01,GETEY356,TRUE,TRUE,TRUE,TRUE,00     ,20250229,1,0001,1,1000,2731596,11000202,01,2,MA275700-45010Q,0000036,  ,               ,                         ,       ,       ,20250229,213111
8001,01,GETEY357,TRUE,TRUE,TRUE,TRUE,00     ,20250229,1,0001,2,1000,2731596,11000202,01,3,AE060810-94200Q,0000039,  ,               ,                         ,       ,       ,20250229,213111
8002,01,GETEY358,TRUE,TRUE,TRUE,TRUE,00     ,20250229,1,0001,3,1000,2731596,11000202,01,4,MA460030-76600Q,0000042,  ,               ,                         ,       ,       ,20250229,213111
8003,01,GETEY359,TRUE,TRUE,TRUE,TRUE,00     ,20250229,1,0001,4,1000,2731596,11000202,01,5,MA460120-91100Q,0000042,  ,               ,                         ,       ,       ,20250230,213111
8004,01,GETEY360,TRUE,TRUE,TRUE,TRUE,00     ,20250229,1,0001,5,1000,2731596,11000202,01,6,MA460070-11500Q,0000042,  ,               ,                         ,       ,       ,20250230,213111
8005,01,GETEY361,TRUE,TRUE,TRUE,TRUE,00     ,20250229,1,0001,6,1000,2731596,11000202,01,7,MA460120-91200Q,0000042,  ,               ,                         ,       ,       ,20250230,213111
8006,01,GETEY362,TRUE,TRUE,TRUE,TRUE,00     ,20250229,1,0001,7,1000,2731596,11000202,01,8,AE059050-92200Q,0000040,  ,               ,                         ,       ,       ,20250230,213111
8007,01,GETEY363,TRUE,TRUE,TRUE,TRUE,00     ,20250229,1,0001,8,1000,2731596,11000202,01,9,AE159860-06400Q,0000042,  ,               ,                         ,       ,       ,20250230,213111
8008,01,GETEY364,TRUE,TRUE,TRUE,TRUE,00     ,20250229,1,0001,9,1000,2731596,11000202,01,10,AE159950-28610Q,0000080,  ,               ,                         ,       ,       ,20250231,213111
8009,01,GETEY365,TRUE,TRUE,TRUE,TRUE,00     ,20250229,1,0002,10,2000,2731596,11000202,01,11,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070035,20250231,213341
8010,01,GETEY366,TRUE,TRUE,TRUE,TRUE,00     ,20250229,1,0003,11,3000,2731596,11000202,01,12,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,301,20250231,213342
8011,01,GETEY367,FALSE,FALSE,FALSE,FALSE,00     ,20250229,1,0004,12,2000,2731596,11000202,01,13,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070012,20250231,213343
8012,01,GETEY368,FALSE,FALSE,FALSE,FALSE,00     ,20250229,1,0005,13,3000,2731596,11000202,01,14,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,302,20250231,213344
8013,01,GETEY369,FALSE,FALSE,FALSE,FALSE,00     ,20250229,1,0006,14,2000,2731596,11000202,01,15,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070003,20250231,213348
8014,01,GETEY370,FALSE,FALSE,FALSE,FALSE,00     ,20250229,1,0007,15,3000,2731596,11000202,01,16,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,303,20250231,213348
8015,01,GETEY371,FALSE,FALSE,FALSE,FALSE,00     ,20250230,1,0008,16,2000,2731596,11000202,01,17,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070029,20250231,213349
8016,01,GETEY372,FALSE,FALSE,FALSE,FALSE,00     ,20250230,1,0009,17,3000,2731596,11000202,01,18,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,304,20250231,213350
8017,01,GETEY373,FALSE,FALSE,FALSE,FALSE,00     ,20250230,1,0010,18,2000,2731596,11000202,01,19,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070016,20250231,213351
8018,01,GETEY374,FALSE,FALSE,FALSE,FALSE,00     ,20250230,1,0011,19,3000,2731596,11000202,01,20,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,305,20250231,213353
