SEQ #,W/H #,DEV ID,SYSFLG1,SYSFLG2,SYSFLG3,SYSFLG4,LOGIN ID,TR DATE(YMD),TR TYPE,OPE SEQ #,RESULT,RSN CODE,TRUCK NO,CUST NO,SHIP NO,CHECK TYPE,SHIP P/N,SHIP QTY,TAG TYPE,P/N,CUST P/N,QTY,TAG SEQ #,SCAN DATE(YMD),SCAN TIME
6000,1,K4, , , , ,0,AS12356,1,1,0,1000,2731596,11000202,1,1,MA275700-45010Q,36,  ,               ,                         ,       ,       ,12345,213111
6001,1,K4, , , , ,0,AS12357,1,1,0,1000,2731596,11000202,1,1,AE060810-94200Q,39,  ,               ,                         ,       ,       ,12345,213111
6002,1,K4, , , , ,0,AS12358,1,1,0,1000,2731596,11000202,1,1,MA460030-76600Q,42,  ,               ,                         ,       ,       ,12345,213111
6003,1,K4, , , , ,0,AS12359,1,1,0,1000,2731596,11000202,1,1,MA460120-91100Q,42,  ,               ,                         ,       ,       ,12345,213111
6004,1,K4, , , , ,0,AS12360,1,1,0,1000,2731596,11000202,1,1,MA460070-11500Q,42,  ,               ,                         ,       ,       ,12345,213111
6005,1,K4, , , , ,0,AS12361,1,1,0,1000,2731596,11000202,1,1,MA460120-91200Q,42,  ,               ,                         ,       ,       ,12345,213111
6006,1,K4, , , , ,0,AS12362,1,1,0,1000,2731596,11000202,1,1,AE059050-92200Q,40,  ,               ,                         ,       ,       ,12345,213111
6007,1,K4, , , , ,0,AS12363,1,1,0,1000,2731596,11000202,1,1,AE159860-06400Q,42,  ,               ,                         ,       ,       ,12345,213111
6008,1,K4, , , , ,0,AS12364,1,1,0,1000,2731596,11000202,1,1,AE159950-28610Q,80,  ,               ,                         ,       ,       ,12345,213111
6009,1,K4, , , , ,0,AS12365,1,2,0,2000,2731596,11000202,1,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,70035,12345,213341
6010,1,K4, , , , ,0,AS12366,1,3,0,3000,2731596,11000202,1,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,4,301,12345,213342
6011,1,K4, , , , ,0,AS12367,1,4,0,2000,2731596,11000202,1,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,70012,12345,213343
6012,1,K4, , , , ,0,AS12368,1,5,0,3000,2731596,11000202,1,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,4,302,12345,213344
6013,1,K4, , , , ,0,AS12369,1,6,0,2000,2731596,11000202,1,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,70003,12345,213348
6014,1,K4, , , , ,0,AS12370,1,7,0,3000,2731596,11000202,1,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,4,303,12345,213348
6015,1,K4, , , , ,0,AS12371,1,8,0,2000,2731596,11000202,1,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,70029,12345,213349
6016,1,K4, , , , ,0,AS12372,1,9,0,3000,2731596,11000202,1,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,4,304,12345,213350
6017,1,K4, , , , ,0,AS12373,1,10,0,2000,2731596,11000202,1,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,70016,12345,213351
6018,1,K4, , , , ,0,AS12374,1,11,0,3000,2731596,11000202,1,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,4,305,12345,213353
