SEQ #,W/H #,DEV ID,SYSFLG1,SYSFLG2,SYSFLG3,SYSFLG4,LOGIN ID,TR DATE(YMD),TR TYPE,OPE SEQ #,RESULT,RSN CODE,TRUCK NO,CUST NO,SHIP NO,CHECK TYPE,SHIP P/N,SHIP QTY,TAG TYPE,P/N,CUST P/N,QTY,TAG SEQ #,SCAN DATE(YMD),SCAN TIME
8000,01,K4, , , , ,00     ,20220929,ASD,0001,0,1000,2731596,11000202,01,QWE,MA275700-45010Q,0000036,  ,               ,                         ,BNE,       ,20220929,213111
8001,01,K4, , , , ,00     ,20220929,ASD,0001,0,1000,2731596,11000202,01,QWE,AE060810-94200Q,0000039,  ,               ,                         ,BNE,       ,20220929,213111
8002,01,K4, , , , ,00     ,20220929,ASD,0001,0,1000,2731596,11000202,01,QWE,MA460030-76600Q,0000042,  ,               ,                         ,BNE,       ,20220929,213111
8003,01,K4, , , , ,00     ,20220929,ASD,0001,0,1000,2731596,11000202,01,QWE,MA460120-91100Q,0000042,  ,               ,                         ,BNE,       ,20220929,213111
8004,01,K4, , , , ,00     ,20220929,ASD,0001,0,1000,2731596,11000202,01,QWE,MA460070-11500Q,0000042,  ,               ,                         ,BNE,       ,20220929,213111
8005,01,K4, , , , ,00     ,20220929,ASD,0001,0,1000,2731596,11000202,01,QWE,MA460120-91200Q,0000042,  ,               ,                         ,BNE,       ,20220929,213111
8006,01,K4, , , , ,00     ,20220929,ASD,0001,0,1000,2731596,11000202,01,QWE,AE059050-92200Q,0000040,  ,               ,                         ,BNE,       ,20220929,213111
8007,01,K4, , , , ,00     ,20220929,ASD,0001,0,1000,2731596,11000202,01,QWE,AE159860-06400Q,0000042,  ,               ,                         ,BNE,       ,20220929,213111
8008,01,K4, , , , ,00     ,20220929,ASD,0001,0,1000,2731596,11000202,01,QWE,AE159950-28610Q,0000080,  ,               ,                         ,BNE,       ,20220929,213111
8009,01,K4, , , , ,00     ,20220929,ASD,0002,0,2000,2731596,11000202,01,QWE,               ,       ,11,AE059050-92200Q,85070EW020               ,BNE,0070035,20220929,213341
8010,01,K4, , , , ,00     ,20220929,ASD,0003,0,3000,2731596,11000202,01,QWE,               ,       ,UR,AE059050-92200Q,85070EW020               ,BNE,301,20220929,213342
8011,01,K4, , , , ,00     ,20220929,ASD,0004,0,2000,2731596,11000202,01,QWE,               ,       ,11,AE059050-92200Q,85070EW020               ,BNE,0070012,20220929,213343
8012,01,K4, , , , ,00     ,20220929,ASD,0005,0,3000,2731596,11000202,01,QWE,               ,       ,UR,AE059050-92200Q,85070EW020               ,BNE,302,20220929,213344
8013,01,K4, , , , ,00     ,20220929,ASD,0006,0,2000,2731596,11000202,01,QWE,               ,       ,11,AE059050-92200Q,85070EW020               ,BNE,0070003,20220929,213348
8014,01,K4, , , , ,00     ,20220929,ASD,0007,0,3000,2731596,11000202,01,QWE,               ,       ,UR,AE059050-92200Q,85070EW020               ,BNE,303,20220929,213348
8015,01,K4, , , , ,00     ,20220929,ASD,0008,0,2000,2731596,11000202,01,QWE,               ,       ,11,AE059050-92200Q,85070EW020               ,BNE,0070029,20220929,213349
8016,01,K4, , , , ,00     ,20220929,ASD,0009,0,3000,2731596,11000202,01,QWE,               ,       ,UR,AE059050-92200Q,85070EW020               ,BNE,304,20220929,213350
8017,01,K4, , , , ,00     ,20220929,ASD,0010,0,2000,2731596,11000202,01,QWE,               ,       ,11,AE059050-92200Q,85070EW020               ,BNE,0070016,20220929,213351
8018,01,K4, , , , ,00     ,20220929,ASD,0011,0,3000,2731596,11000202,01,QWE,               ,       ,UR,AE059050-92200Q,85070EW020               ,BNE,305,20220929,213353
