SEQ #,W/H #,DEV ID,SYSFLG1,SYSFLG2,SYSFLG3,SYSFLG4,LOGIN ID,TR DATE(YMD),TR TYPE,OPE SEQ #,RESULT,RSN CODE,TRUCK NO,CUST NO,SHIP NO,CHECK TYPE,SHIP P/N,SHIP QTY,TAG TYPE,P/N,CUST P/N,QTY,TAG SEQ #,SCAN DATE(YMD),SCAN TIME
9000,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0001,0,1000,5000100,11000202,01,1,MA275700-45010Q,0000036,  ,               ,                         ,       ,       ,ASDF1234,ASD1234
9001,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0001,0,1000,5000100,11000202,01,1,AE060810-94200Q,0000039,  ,               ,                         ,       ,       ,ASDF1235,ASD1235
9002,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0001,0,1000,5000100,11000202,01,1,MA460030-76600Q,0000042,  ,               ,                         ,       ,       ,ASDF1236,ASD1236
9003,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0001,0,1000,5000100,11000202,01,1,MA460120-91100Q,0000042,  ,               ,                         ,       ,       ,ASDF1237,ASD1237
9004,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0001,0,1000,5000100,11000202,01,1,MA460070-11500Q,0000042,  ,               ,                         ,       ,       ,ASDF1238,ASD1238
9005,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0001,0,1000,5000100,11000202,01,1,MA460120-91200Q,0000042,  ,               ,                         ,       ,       ,ASDF1239,ASD1239
9006,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0001,0,1000,5000100,11000202,01,1,AE059050-92200Q,0000040,  ,               ,                         ,       ,       ,ASDF1240,ASD1240
9007,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0001,0,1000,5000100,11000202,01,1,AE159860-06400Q,0000042,  ,               ,                         ,       ,       ,ASDF1241,ASD1241
9008,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0001,0,1000,5000100,11000202,01,1,AE159950-28610Q,0000080,  ,               ,                         ,       ,       ,ASDF1242,ASD1242
9009,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0002,0,2000,5000100,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070035,ASDF1243,ASD1243
9010,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0003,0,3000,5000100,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,301,ASDF1244,ASD1244
9011,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0004,0,2000,5000100,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070012,ASDF1245,ASD1245
9012,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0005,0,3000,5000100,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,302,ASDF1246,ASD1246
9013,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0006,0,2000,5000100,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070003,ASDF1247,ASD1247
9014,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0007,0,3000,5000100,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,303,ASDF1248,ASD1248
9015,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0008,0,2000,5000100,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070029,ASDF1249,ASD1249
9016,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0009,0,3000,5000100,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,304,ASDF1250,ASD1250
9017,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0010,0,2000,5000100,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,4,0070016,ASDF1251,ASD1251
9018,01,G3,TRUE,TRUE,TRUE,TRUE,00     ,20240929,1,0011,0,3000,5000100,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,0000004,305,ASDF1252,ASD1252
