SEQ #,W/H #,DEV ID,SYSFLG1,SYSFLG2,SYSFLG3,SYSFLG4,LOGIN ID,TR DATE(YMD),TR TYPE,OPE SEQ #,RESULT,RSN CODE,TRUCK NO,CUST NO,SHIP NO,CHECK TYPE,SHIP P/N,SHIP QTY,TAG TYPE,P/N,CUST P/N,QTY,TAG SEQ #,SCAN DATE(YMD),SCAN TIME
2100,01,H1,1,1,1,1,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,MA275700-45010Q,0000036,  ,               ,                         ,5,       ,20241229,223000
2101,01,H2,1,1,1,1,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,AE060810-94200Q,0000039,  ,               ,                         ,5,       ,20241229,223000
2102,01,H3,1,1,1,1,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,MA460030-76600Q,0000042,  ,               ,                         ,5,       ,20241229,223000
2103,01,H4,1,1,1,1,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,MA460120-91100Q,0000042,  ,               ,                         ,5,       ,20241229,223000
2104,01,H5,1,1,1,1,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,MA460070-11500Q,0000042,  ,               ,                         ,5,       ,20241229,223000
2105,01,H6,1,1,1,1,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,MA460120-91200Q,0000042,  ,               ,                         ,5,       ,20241229,223000
2106,01,H7,1,1,1,1,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,AE059050-92200Q,0000040,  ,               ,                         ,5,       ,20241229,223000
2107,01,H8,1,1,1,1,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,AE159860-06400Q,0000042,  ,               ,                         ,5,       ,20241229,223000
2108,01,H9,1,1,1,1,00     ,20220929,1,0001,0,1000,2731596,11000202,01,1,AE159950-28610Q,0000080,  ,               ,                         ,5,       ,20241229,223000
2109,01,H10,1,1,1,1,00     ,20220929,1,0002,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,5,0070035,20241229,223000
2110,01,H11,1,1,1,1,00     ,20220929,1,0003,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,5,301,20241229,223000
2111,01,H12,1,1,1,1,00     ,20220929,1,0004,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,5,0070012,20241229,223000
2112,01,H13,1,1,1,1,00     ,20220929,1,0005,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,5,302,20241229,223000
2113,01,H14,1,1,1,1,00     ,20220929,1,0006,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,5,0070003,20241229,223000
2114,01,H15,1,1,1,1,00     ,20220929,1,0007,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,5,303,20241229,223000
2115,01,H16,1,1,1,1,00     ,20220929,1,0008,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,5,0070029,20241229,223000
2116,01,H17,1,1,1,1,00     ,20220929,1,0009,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,5,304,20241229,223000
2117,01,H18,1,1,1,1,00     ,20220929,1,0010,0,2000,2731596,11000202,01,1,               ,       ,11,AE059050-92200Q,85070EW020               ,5,0070016,20241229,223000
2118,01,H19,1,1,1,1,00     ,20220929,1,0011,0,3000,2731596,11000202,01,1,               ,       ,UR,AE059050-92200Q,85070EW020               ,5,305,20241229,223000
