SEQ #,W/H #,DEV ID,SYSFLG1,SYSFLG2,SYSFLG3,SYSFLG4,LOGIN ID,TR DATE(YMD),TR TYPE,OPE SEQ #,RESULT,RSN CODE,TRUCK NO,CUST NO,SHIP NO,CHECK TYPE,SHIP P/N,SHIP QTY,TAG TYPE,P/N,CUST P/N,QTY,TAG SEQ #,SCAN DATE(YMD),SCAN TIME
1000,3,AW99,FALSE,FALSE,TRUE,TRUE,TY35,20250424,1,2,1,6000,888111,8901234,8,999,JK124123-ZXD555,5,HJT,CCC11156-MFGF,89011Q2134,8,56900,20250424,203000
1001,3,AW99,FALSE,FALSE,TRUE,TRUE,TY35,20250424,1,2,1,6000,888111,8901234,8,999,JK124123-ZXD555,5,HJT,CCC11156-MFGF,89011Q2134,8,56900,20250424,203000
1002,3,AW99,FALSE,FALSE,TRUE,TRUE,TY35,20250424,1,2,1,6000,888111,8901234,8,999,JK124123-ZXD555,5,HJT,CCC11156-MFGF,89011Q2134,8,56900,20250424,203000
1003,3,AW99,FALSE,FALSE,TRUE,TRUE,TY35,20250424,1,2,1,6000,888111,8901234,8,999,JK124123-ZXD555,5,HJT,CCC11156-MFGF,89011Q2134,8,56900,20250424,203000
1004,3,AW99,FALSE,FALSE,TRUE,TRUE,TY35,20250424,1,2,1,6000,888111,8901234,8,999,JK124123-ZXD555,5,HJT,CCC11156-MFGF,89011Q2134,8,56900,20250424,203000
1005,3,AW99,FALSE,FALSE,TRUE,TRUE,TY35,20250424,1,2,1,6000,888111,8901234,8,999,JK124123-ZXD555,5,HJT,CCC11156-MFGF,89011Q2134,8,56900,20250424,203000
1006,3,AW99,FALSE,FALSE,TRUE,TRUE,TY35,20250424,1,2,1,6000,888111,8901234,8,999,JK124123-ZXD555,5,HJT,CCC11156-MFGF,89011Q2134,8,56900,20250424,203000
1007,3,AW99,FALSE,FALSE,TRUE,TRUE,TY35,20250424,1,2,1,6000,888111,8901234,8,999,JK124123-ZXD555,5,HJT,CCC11156-MFGF,89011Q2134,8,56900,20250424,203000
1008,3,AW99,FALSE,FALSE,TRUE,TRUE,TY35,20250424,1,2,1,6000,888111,8901234,8,999,JK124123-ZXD555,5,HJT,CCC11156-MFGF,89011Q2134,8,56900,20250424,203000
1009,3,AW99,FALSE,FALSE,TRUE,TRUE,TY35,20250424,1,2,1,6000,888111,8901234,8,999,JK124123-ZXD555,5,HJT,CCC11156-MFGF,89011Q2134,8,56900,20250424,203000
